icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
a1226b,1662034693.0,,1662036530,,UPS312  ,KSAT,,,,A300 F4-622R,A306,N172UP
a163c2,1662073242.0,,1662076109,,SKW3383 ,KSAN,,,,ERJ 170-200 LR,E75L,N189SY
a1b8b8,1662034720.0,,1662039465,,AMF1650 ,MI10,,,,1900C,B190,N21RZ
a480c4,1662068450.0,,1662076513,,N39DJ   ,,,KSGR,,525B,,N39DJ
a50734,1662037335.0,,1662038357,,EMD1    ,KMKC,,,,B200,BE20,N423EM
a570b1,1662038481.0,,1662039389,,N45KN   ,,,OI46,,HAWKER 800XP,H25B,N45KN
a5a4a6,1662055616.0,,1662065662,,N4629K  ,61NK,,,,,,
a77a51,1662033579.0,,1662035209,,LN581HC ,,,KSLC,,525C,C25C,N581HC
aa5694,1662070435.0,,1662076724,,UAL2582 ,,,KDWH,,737-824,B738,N76508
aa6ed1,1662048257.0,,1662056285,,AAL1972 ,KPHX,,K3Y3,,A319-112,A319,N771XF
ac4361,1662060956.0,,1662062542,,N89EB   ,KPOC,,CL74,,LANCAIR,,N89EB
c05fca,1662052793.0,,1662055913,,CGKHD   ,CYEG,,,,B300 (Beech),C560,C-GKHD
c828ef,1662074734.0,,1662076764,,ZKJCJ   ,NZWB,,NZCH,,Bombardier Challenger 604,CL60,ZK-JCJ
152060,1662056591.0,,1662064577,,SVR226  ,ULLI,,,,Airbus A320-214,A320,RA-73824
151e15,1662026078.0,,1662034825,,PBD348  ,,,,,Boeing 737-8LJ ,B738,RA-73237
0b418e,1662067762.0,,1662068411,,TGU150  ,MGGT,,,,,,
0d0aa8,1661999725.0,,1662008390,,VTM122  ,,,,,McDonnell Douglas MD-83(SF),MD83,XA-UZI
43ea45,1662029751.0,,1662035475,,MDMBP   ,EIDW,,,,Learjet 40 XR,LJ40,M-DMBP
4948b5,1662032823.0,,1662038226,,JME515U ,,LEVC,,LEIB,Bombardier Global Express,GLEX,CS-REU
508405,1662064180.0,,1662076478,,TWI146  ,,,EETN,,B737-800,B738,UR-SQC
4ca80f,1662062692.0,1662061779.0,1662073016,,RYR7AT  ,LFOB,LFOB,,GMMX,BOEING 737-8AS,B738,EI-EKO
710024,1662051706.0,,1662056173,,HZSKY4  ,OMDB,,,,ACJ319 115XSL,A319,HZ-SKY4
7100bd,1662060197.0,,1662064709,,SVA595  ,OMDB,,,,A330 343E,A333,HZ-AQ19
